Отзыв,Тональность
"Разочарован, не соответствует описанию",0
"Плохое обслуживание, долго ждал",0
"Отличный сервис, все быстро и удобно",1
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Плохое обслуживание, долго ждал",0
"Прекрасный товар, качество отличное!",1
"Прекрасный товар, качество отличное!",1
"Очень доволен покупкой, рекомендую",1
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Отличный сервис, все быстро и удобно",1
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Прекрасный товар, качество отличное!",1
"Очень доволен покупкой, рекомендую",1
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Плохое обслуживание, долго ждал",0
"Очень доволен покупкой, рекомендую",1
"Плохое обслуживание, долго ждал",0
"Прекрасный товар, качество отличное!",1
"Очень доволен покупкой, рекомендую",1
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Плохое обслуживание, долго ждал",0
"Ужасное качество, быстро сломалось",0
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Прекрасный товар, качество отличное!",1
"Плохое обслуживание, долго ждал",0
"Плохое обслуживание, долго ждал",0
"Отличный сервис, все быстро и удобно",1
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Отличный сервис, все быстро и удобно",1
"Прекрасный товар, качество отличное!",1
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Очень доволен покупкой, рекомендую",1
"Плохое обслуживание, долго ждал",0
"Прекрасный товар, качество отличное!",1
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Прекрасный товар, качество отличное!",1
"Разочарован, не соответствует описанию",0
"Очень доволен покупкой, рекомендую",1
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Плохое обслуживание, долго ждал",0
"Прекрасный товар, качество отличное!",1
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Прекрасный товар, качество отличное!",1
"Прекрасный товар, качество отличное!",1
"Очень доволен покупкой, рекомендую",1
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Плохое обслуживание, долго ждал",0
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Очень доволен покупкой, рекомендую",1
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Прекрасный товар, качество отличное!",1
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Отличный сервис, все быстро и удобно",1
"Плохое обслуживание, долго ждал",0
"Ужасное качество, быстро сломалось",0
"Очень доволен покупкой, рекомендую",1
"Отличный сервис, все быстро и удобно",1
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Плохое обслуживание, долго ждал",0
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Очень доволен покупкой, рекомендую",1
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Плохое обслуживание, долго ждал",0
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Очень доволен покупкой, рекомендую",1
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Прекрасный товар, качество отличное!",1
"Ужасное качество, быстро сломалось",0
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Отличный сервис, все быстро и удобно",1
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Плохое обслуживание, долго ждал",0
"Ужасное качество, быстро сломалось",0
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Плохое обслуживание, долго ждал",0
"Разочарован, не соответствует описанию",0
"Очень доволен покупкой, рекомендую",1
"Отличный сервис, все быстро и удобно",1
"Разочарован, не соответствует описанию",0
"Плохое обслуживание, долго ждал",0
"Отличный сервис, все быстро и удобно",1
"Прекрасный товар, качество отличное!",1
"Плохое обслуживание, долго ждал",0
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Прекрасный товар, качество отличное!",1
"Отличный сервис, все быстро и удобно",1
"Очень доволен покупкой, рекомендую",1
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Очень доволен покупкой, рекомендую",1
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Разочарован, не соответствует описанию",0
"Ужасное качество, быстро сломалось",0
"Очень доволен покупкой, рекомендую",1
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Ужасное качество, быстро сломалось",0
"Прекрасный товар, качество отличное!",1
"Плохое обслуживание, долго ждал",0
"Прекрасный товар, качество отличное!",1
"Очень доволен покупкой, рекомендую",1
"Плохое обслуживание, долго ждал",0
"Прекрасный товар, качество отличное!",1
"Разочарован, не соответствует описанию",0
"Отличный сервис, все быстро и удобно",1
"Очень доволен покупкой, рекомендую",1
"Очень доволен покупкой, рекомендую",1
"Прекрасный товар, качество отличное!",1
"Очень доволен покупкой, рекомендую",1
"Разочарован, не соответствует описанию",0
"Прекрасный товар, качество отличное!",1
"Разочарован, не соответствует описанию",0
"Разочарован, не соответствует описанию",0
"Очень доволен покупкой, рекомендую",1
"Ужасное качество, быстро сломалось",0
"Плохое обслуживание, долго ждал",0
"Разочарован, не соответствует описанию",0
"Плохое обслуживание, долго ждал",0
"Ужасное качество, быстро сломалось",0
"Ужасное качество, быстро сломалось",0
"Прекрасный товар, качество отличное!",1
"Разочарован, не соответствует описанию",0
"Прекрасный товар, качество отличное!",1
